SMILES,pKa_accepted,SMARTS pKa,SPARC,MARVIN,ACD,ADME Boxes,Consensus
OC(=O)c1ccccc1C(C)(C)C,3.55,3.595,3.9,3.85,3.53,3.7,3.608333333
OC(=O)c1ccccc1[N+](C)(C)C,1.16,2.2944443,2.36,1.66,1.16,1.4,1.784814767
OC1=CC=C(C=CC1=O)C,7.32,7.3299999,7.08,7.32,7.44,7.1,7.166666667
OC1=Cc2c(C=CC1=O)cccc2,10,10.344999,7.92,6.79,7.9,6.6,8.721666333
O\C(=C/c1ccc[n+](c1)C)\c1ccccc1,6.75,7.3299999,7.16,6.66,8.15,,7.323333333
Oc1c(cc([N+](=O)[O-])cc1C(C)(C)C)C(C)(C)C,6.92,7.2849998,8.92,8.33,7.17,7.2,7.218333267
Oc1c2CCCc2ccc1,10.26,10.27,10.47,10.38,10.38,10.3,10.34333333
Oc1c2c(cccc2)c([N+](=O)[O-])cc1[N+](=O)[O-],3.6,3.415,3.09,3.76,2.12,2.7,3.421666667
Oc1cc(cc([N+](C)(C)C)c1)C,8.2,8.1999998,8.31,8.73,7.96,8.1,8.203333267
Oc1cc(cc(c1)C)CC,10.1,10.1,10.21,10.23,10.18,10.3,10.20666667
Oc1cc(ccc1)C(C)(C)C,10.12,10.078,10.06,10.06,10.08,10.3,10.06666667
Oc1cc2c(cc1)cccc2,9.7,9.6077776,9.31,9.78,9.57,9.4,9.525925867
Oc1ccc([N+](=O)[O-])cc1,7.15,8.4133339,6.63,7.04,7.23,7.2,7.156666667
Oc1ccc(cc1)CC[N+](C)(C)C,9.8,9.8000002,9.76,10.09,9.68,10.3,9.746666733
Oc1ccccc1C,10.28,10.326667,10.31,10.37,10.32,10.3,10.31
Oc1ccccc1C(OC)=O,10.19,9.9399996,10.13,9.72,9.76,9.8,9.76
Oc1ccccc1C=O,8.27,8.2625008,8.18,8.2,8.18,8.4,8.186666667
P(OCC)(OCC)(=O)C[NH+](CCCC)CCCC,6.59,6.5450001,8.37,6.89,7.37,6.1,6.5116667
P(OCC)(OCC)(=O)C[NH+]1CCCC1,6.67,6.605,8.38,5.83,8.33,6.1,6.178333333
P(OCC)(OCC)(=O)c1ccc(cc1)C(O)=O,3.6,3.5450001,3.77,3.54,3.64,4.1,3.575000033
P(Oc1ccccc1)(Oc1ccccc1)(OCC[NH3+])=O,8.22,8.3099995,9.06,9.21,7.78,8.1,8.063333167
PCCCC(O)=O,4.53,4.5650001,4.67,5.47,4.71,4.9,4.76
S(=O)(=O)(N)c1ccc(cc1)C,9.61,9.5799999,10.02,9.98,10.2,9.7,10.06666667
S(=O)(C)c1ccc(O)cc1,8.28,8.1300001,8.53,8.33,8.35,8.4,8.36
S(=O)(Cc1[nH+]c(ccc1)CS(=O)C)C,1.53,2.8600001,3,-0.38,1.63,3.9,2.4966667
S(C(=[NH2+])c1ccccc1)C,5.83,5.1900001,5.85,7.63,5.42,5.8,5.69
S(C(C(O)=O)C)C,3.76,3.79,3.69,4.46,3.86,3.7,3.75
S(CC(O)=O)c1cc(OC)ccc1,3.55,3.3452501,3.97,3.81,3.55,3.7,3.686666667
S(CC(O)=O)c1ccc(F)cc1,3.58,3.5450001,3.89,3.55,3.59,3.7,3.5616667
S(CC(O)=O)c1ccc(SC)cc1,3.74,3.7225001,3.93,3.96,3.66,3.7,3.6941667
S(CC(O)=O)c1ccccc1[N+](=O)[O-],3.26,3.375,3.83,2.93,3.5,3.7,3.525
S(CC[NH3+])C,9.18,9.1166668,9.09,9.72,8.8,9.4,9.002222267
S(P(OCC)(OCC)=O)CC[NH+](C)C,7.73,7.7150002,9.04,8.64,8.43,8.1,8.39
S(c1ccc([N+](=O)[O-])cc1C(O)=O)c1ccccc1,3.22,3.0799999,3.22,2.94,2.4,2.1,3.079999967
S1(=O)(=O)NC(=O)c2c1cccc2,2.32,5.25,5.92,2.84,1.6,1.7,2.046666667
S1CC(=O)NC1=S,6.87,6.6199999,7.18,9.34,5.2,5.2,5.6733333
